study,cell,team_size,damage_multiplier,shield_decay,fatigue_enabled,battles,mean_turns,median_turns,p90_turns,p99_turns,capped_battles,over_60_turns,player_wins,enemy_wins,draws,paired_mean_turn_change,decisive_winner_reversals,all_outcome_changes
damage,dm10_t1,1,1.0,0.0,True,3000,7.763333333333334,5.0,17.0,31.009999999999764,0,0,1680,1298,22,0,0,0
damage,dm125_t1,1,1.25,0.0,True,3000,6.49,4.0,14.0,29.0,0,0,1667,1302,31,-1.2733333333333334,337,368
damage,dm15_t1,1,1.5,0.0,True,3000,5.530666666666667,4.0,12.0,26.0,0,0,1649,1331,20,-2.232666666666667,494,518
damage,dm20_t1,1,2.0,0.0,True,3000,4.22,3.0,8.0,23.0,0,0,1668,1315,17,-3.5433333333333334,676,707
damage,dm10_t3,3,1.0,0.0,True,1200,15.315,11.0,29.0,63.0,0,17,694,504,2,0,0,0
damage,dm125_t3,3,1.25,0.0,True,1200,12.601666666666667,9.0,23.0,59.0,0,11,670,529,1,-2.7133333333333334,241,244
damage,dm15_t3,3,1.5,0.0,True,1200,10.396666666666667,8.0,18.0,47.01999999999998,0,4,661,538,1,-4.918333333333333,302,305
damage,dm20_t3,3,2.0,0.0,True,1200,7.984166666666667,6.0,13.0,34.0,0,2,661,535,4,-7.3308333333333335,356,362
damage,dm10_t6,6,1.0,0.0,True,800,28.0275,22.0,46.0,114.00999999999999,6,60,487,307,0,0,0,0
damage,dm125_t6,6,1.25,0.0,True,800,23.655,18.0,38.0,111.00999999999999,3,43,483,312,2,-4.3725,166,175
damage,dm15_t6,6,1.5,0.0,True,800,19.93625,16.0,30.100000000000023,98.01999999999998,1,22,486,311,2,-8.09125,181,188
damage,dm20_t6,6,2.0,0.0,True,800,14.80375,13.0,22.0,56.00999999999999,0,7,464,336,0,-13.22375,227,233
damage_fatigue,fx_base,6,1.0,0.0,True,800,28.0275,22.0,46.0,114.00999999999999,6,60,487,307,0,0,0,0
damage_fatigue,fx_nofat,6,1.0,0.0,False,800,28.69875,22.0,46.0,120.0,32,60,471,297,0,0.67125,0,26
damage_fatigue,fx_dmg,6,1.5,0.0,True,800,19.93625,16.0,30.100000000000023,98.01999999999998,1,22,486,311,2,-8.09125,181,188
damage_fatigue,fx_dmg_nofat,6,1.5,0.0,False,800,20.1575,16.0,30.100000000000023,120.0,10,22,482,307,1,-7.87,179,190
shield,sd00_t3,3,1.0,0.0,True,1200,15.315,11.0,29.0,63.0,0,17,694,504,2,0,0,0
shield,sd025_t3,3,1.0,0.25,True,1200,14.076666666666666,11.0,25.0,55.0,0,7,696,503,1,-1.2383333333333333,103,106
shield,sd033_t3,3,1.0,0.33,True,1200,13.835,11.0,24.0,55.00999999999999,0,6,690,509,1,-1.48,113,116
shield,sd05_t3,3,1.0,0.5,True,1200,13.276666666666667,10.0,23.0,52.0,0,7,696,503,1,-2.0383333333333336,133,136
shield,sd00_t6,6,1.0,0.0,True,800,28.0275,22.0,46.0,114.00999999999999,6,60,487,307,0,0,0,0
shield,sd025_t6,6,1.0,0.25,True,800,25.8875,21.0,40.0,106.0,3,45,500,297,0,-2.14,106,111
shield,sd033_t6,6,1.0,0.33,True,800,26.0525,21.0,40.10000000000002,109.02999999999997,3,47,508,289,0,-1.975,127,132
shield,sd05_t6,6,1.0,0.5,True,800,24.40375,20.0,38.0,104.0,1,28,502,297,0,-3.62375,133,138
